iso,year,XPTOT,IPTOT,SH_PRIM,SH_SECD,GDP,XCH_RATE,POP,TARIFF
ARE,2015,236456225159.51642,174289999686.0563,0.740999246531651,43.8938141693106,234415682970.7388,0.17822885743537809,9262.896,0.0004928721750690255
ARE,2016,267092248800.6586,200299019562.68027,0.776054567862067,41.4486936338511,264439879987.43985,0.20167037813399155,9360.975,0.00045476691502215066
ARE,2017,298392896603.9897,225931490558.2816,0.770547339714865,42.5746249848471,299606487404.53534,0.2115661490385631,9487.206,0.00033642831725817025
ARE,2018,294463338589.92633,211019915789.3165,0.718738960721091,47.0329278956723,316463491946.10065,0.20409299939001962,9630.966,0.00014843472541926998
ARE,2019,305051873101.0912,225943649780.2684,0.73084017039957,46.1603691405382,329941850434.8677,0.21332746358391533,9770.526,0.00015453660517023246
ARE,2020,,,,,,0.2123892652681152,9890.4,
ARG,2014,46077372305.933876,44784614589.40877,6.71270351428559,24.2773944936602,319860058935.6133,,42669.5,4.551852904873636
ARG,2015,41676081670.52303,45860650378.07927,5.1566859021408,23.153056135905,389290455864.91425,,43131.966,4.910990736324932
ARG,2016,51727752232.88224,56020943472.69385,6.26456582010254,22.0541072112108,412926951819.49115,,43590.368,4.90489385095094
ARG,2017,56610978478.881096,69858388078.20135,5.23162237725058,21.782123219335,500084465028.0444,,44044.811,4.537749187841565
ARG,2018,56721661346.46883,64230109312.66037,5.29647212437895,23.0589303202641,387977538040.0921,,44494.502,4.2287188665436775
ARG,2019,60861400654.18091,53003152771.092316,6.088397130802,23.4098534223297,348981846059.0044,,44938.712,4.771851753368271
ARG,2020,49640485734.240295,41491778398.82386,6.83608019121494,22.4694767111459,298792080416.4346,,45376.763,
ARM,2014,2015062010.1049929,3331474245.1473904,18.0720363470662,25.2705329463993,7055444967.115094,0.001461170260833167,2912.403,2.122674338056044
ARM,2015,2053322853.4448407,2898216400.670411,17.2231200318056,25.7086994351611,6907639461.490467,0.0013695760759212573,2925.559,2.9056406551698912
ARM,2016,2635708725.507737,3306612861.4290524,16.39047353385,25.5771330395605,7810831158.326521,0.0015414208706248237,2936.147,2.583973737492962
ARM,2017,3422845547.450985,4387493307.613443,14.9942601242776,25.8095323791656,8956566512.26288,0.001609592490009701,2944.789,2.662106012525822
ARM,2018,3678358903.4688716,4956428789.354284,13.9423116554146,24.7565578476257,9337620386.046366,0.0015518638623413649,2951.741,2.5121951402867335
ARM,2019,4412116950.055346,5843144547.556052,11.9883560296292,24.2874002052175,10711889990.714344,0.0016306651126265863,2957.728,2.6552899217810766
ARM,2020,3028834763.9436507,3881232775.079655,11.7173127255744,26.4138473692168,9863452833.689444,0.0015950622631760321,2963.234,
ASM,2014,260716009.9307714,422372090.68038726,,,390770150.082718,,55.791,
ASM,2015,280145464.98265034,435272743.4893983,,,440509107.3208497,,55.806,
ASM,2016,317732184.926049,473265422.30243665,,,496965725.1407433,,55.739,
ASM,2017,281265559.0085725,486387403.147421,,,475509729.59460324,,55.617,
ASM,2018,327545283.0935531,496189879.6520187,,,480449717.30656195,,55.461,
ASM,2019,316511824.4448193,488086303.5374317,,,499837980.1876107,,55.312,
ASM,2020,,,,,,,55.197,
ATG,2014,624318394.8415638,561677226.2637026,1.65576063634316,16.1886387614543,759499972.3639826,0.2250850469919463,92.562,
ATG,2015,665260630.8457847,557769717.7501572,1.61232672128831,16.4579794794781,874926093.2026064,0.2424242514560837,93.571,
ATG,2016,772564038.3542463,683742764.5227226,1.56801881003821,17.9383723748189,1063984498.1848092,0.2743090606285496,94.52,
ATG,2017,772646790.0529952,754263590.6568388,1.79359865171034,19.2206966499644,1140584503.532678,0.2877691416089344,95.425,
ATG,2018,776689567.2797252,849085759.254689,1.73655250377787,21.1147896503593,1203261846.177515,0.2776042741703137,96.282,
ATG,2019,937159528.0060469,905967957.0237848,1.76007844360751,21.5708778107102,1302056756.3542676,0.2901648555599737,97.115,
ATG,2020,467121115.66044694,511116969.6739704,2.13628011914172,21.6611789586092,1103745623.2236097,0.28888873211005667,97.928,
AUS,2014,187636870991.4151,191450174947.821,2.21622365548348,25.5148167378779,891833324569.6316,,23475.686,2.7043015296205524
AUS,2015,176814958670.9227,190304509809.2297,2.37264411384703,23.644205561858,884745186469.3164,,23815.995,3.114662149013862
AUS,2016,172357360035.14035,192730468481.13925,2.40312299408568,22.2848726511609,895313744900.4497,,24190.907,3.929006000083917
AUS,2017,219002061718.3614,212880125372.89807,2.70442489124027,23.4610646679956,1032748452100.0793,,24601.86,3.9077618456439573
AUS,2018,234364993067.94806,230271357510.49484,2.45834595577098,24.1589669797031,1073989631860.1212,,24982.688,3.9586723687696326
AUS,2019,263806173826.86075,236327321273.50977,2.12159698465698,25.3824487371203,1094133598496.7065,,25365.745,3.7802683459429214
AUS,2020,248264485190.03586,208270553281.50793,1.89796911311257,25.6880849464954,1038102158170.2938,,25687.041,
AUT,2014,143403902434.39056,134621233019.63852,1.20074056404147,25.3646396008814,268614144221.86008,,8546.356,0.0
AUT,2015,132678567054.55331,123304667345.12909,1.1297901935645,25.174913250307,249916961532.2407,,8642.699,0.0
AUT,2016,153535939465.67096,142313043414.68155,1.11031647926172,25.476804975952,292971770756.9072,,8736.668,0.0
AUT,2017,174800666369.49158,164571476824.98746,1.21059315171016,25.4094844426534,323383345528.86414,,8797.566,0.0
AUT,2018,189873496014.36356,178721026908.4894,1.13438306003741,25.4892122311316,340941380572.4597,,8840.521,0.0
AUT,2019,193787759644.11493,182031867780.58286,1.08562333151095,25.5242529163282,348692139204.72974,,8879.92,0.0
AUT,2020,176073376815.8415,163450100229.5451,1.13948444457699,25.4357210574713,334592828826.10144,,8917.205,
AZE,2014,19788212860.389427,11985206210.348976,5.31940671805552,53.5868546669355,45728186884.554405,0.7748219085013404,9535.079,2.361094948084358
AZE,2015,13129750458.112259,12091715177.304466,6.17763883780802,44.8913203383597,34739589248.77115,0.6388528143199372,9649.341,2.039845941705102
AZE,2016,13021093717.21373,12241981722.000439,5.60511177455763,47.5578070076723,28045989594.403133,0.46413765180973543,9757.812,2.2687807578273693
AZE,2017,15414717209.125013,13289452149.587414,5.60736901068842,49.7017251037138,31751586385.88453,0.4514275423329966,9854.033,2.381494250921381
AZE,2018,19101414492.70677,13270588190.572376,5.21238076212356,52.2509114518304,35312635366.17158,0.44089658351967853,9939.771,2.911743989793613
AZE,2019,18512623609.556034,13876748468.58306,5.69538024963307,48.8232665251868,37741869069.74052,0.4608500647128994,10024.283,3.663088817449985
AZE,2020,11862830032.674873,12119495775.736269,6.92578714991399,41.3879462449021,33233579611.3197,0.45882328041009,10110.116,
BDI,2014,125029454.65890795,561627643.9676489,34.9581923436541,15.498211588581,1644384693.7900467,0.0003929235571597698,9844.301,
BDI,2015,116492062.91930836,544749893.7595363,30.6808301089821,11.7649457671668,2031967576.1078408,0.0004164044614408443,10160.034,
BDI,2016,145825558.7087635,550011686.4179606,31.5443340866362,12.2073630909389,2192012159.523626,0.0004476142435133902,10488.002,
BDI,2017,183496821.85076535,664300672.4922811,28.5466470060171,10.9931298354004,2464797208.343233,0.0004493649319102764,10827.01,
BDI,2018,213993967.28037032,678536468.7949681,29.0119004854571,11.1072170612718,2276280173.1689043,0.0004204056661287096,11175.379,
